Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Robot Execution Failures,"Multivariate, Time-Series ",Classification ,Integer ,463,90,1999 
Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series ",Clustering ,"Integer, Real ",811,53,2017 
SCADI,Multivariate ,"Classification, Clustering ",,70,206,2018 
SECOM,Multivariate ,"Classification, Causal-Discovery ",Real ,1567,591,2008 
seeds,Multivariate ,"Classification, Clustering ",Real ,210,7,2012 
seismic-bumps,Multivariate ,Classification ,Real ,2584,19,2013 
Semeion Handwritten Digit,Multivariate ,Classification ,Integer ,1593,256,2008 
sEMG for Basic Hand movements,Time-Series ,Classification ,Real ,3000,2500,2014 
Sentence Classification,Text ,Classification ,Integer ,0,0,2014 
Sentiment Labelled Sentences,Text ,Classification ,,3000,0,2015 
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate ,Classification ,Real ,403,5,2013 
Servo,Multivariate ,Regression ,"Categorical, Integer ",167,4,1993 
SGEMM GPU kernel performance,Multivariate ,Regression ,Integer ,241600,18,2018 
Shuttle Landing Control,Multivariate ,Classification ,Categorical ,15,6,1988 
SIFT10M,Multivariate ,Causal-Discovery ,Integer ,11164866,128,2016 
SkillCraft1 Master Table Dataset,Multivariate ,Regression ,"Integer, Real ",3395,20,2013 
Skin Segmentation,Univariate ,Classification ,Real ,245057,4,2012 
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series ,Classification ,Real ,5744,561,2016 
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series ",Classification ,Real ,10929,561,2015 
SML2010,"Multivariate, Sequential, Time-Series, Text ",Regression ,Real ,4137,24,2014 
SMS Spam Collection,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,5574,0,2012 
Solar Flare,Multivariate ,Regression ,Categorical ,1389,10,1989 
Soybean (Large),Multivariate ,Classification ,Categorical ,307,35,1988 
Soybean (Small),Multivariate ,Classification ,Categorical ,47,35,1987 
Spambase,Multivariate ,Classification ,"Integer, Real ",4601,57,1999 
SPECT Heart,Multivariate ,Classification ,Categorical ,267,22,2001 
SPECTF Heart,Multivariate ,Classification ,Integer ,267,44,2001 
Spoken Arabic Digit,"Multivariate, Time-Series ",Classification ,Real ,8800,13,2010 
Sponge,Multivariate ,Clustering ,"Categorical, Integer ",76,45,
Sports articles for objectivity analysis,"Multivariate, Text ",Classification ,Integer ,1000,59,2018 
Statlog (Australian Credit Approval),Multivariate ,Classification ,"Categorical, Integer, Real ",690,14,
Statlog (German Credit Data),Multivariate ,Classification ,"Categorical, Integer ",1000,20,1994 
Statlog (Heart),Multivariate ,Classification ,"Categorical, Real ",270,13,
Statlog (Image Segmentation),Multivariate ,Classification ,Real ,2310,19,1990 
Statlog (Landsat Satellite),Multivariate ,Classification ,Integer ,6435,36,1993 
Statlog (Shuttle),Multivariate ,Classification ,Integer ,58000,9,
Statlog (Vehicle Silhouettes),Multivariate ,Classification ,Integer ,946,18,
Statlog Project,,,,0,0,1992 
Steel Plates Faults,Multivariate ,Classification ,"Integer, Real ",1941,27,2010 
Stock portfolio performance,Multivariate ,Regression ,Real ,315,12,2016 
StoneFlakes,Multivariate ,"Classification, Clustering, Causal-Discovery ",Real ,79,8,2014 
Student Loan Relational,Domain-Theory ,,,1000,0,1993 
Student Performance,Multivariate ,"Classification, Regression ",Integer ,649,33,2014 
SUSY,,Classification ,Real ,5000000,18,2014 
Synthetic Control Chart Time Series,Time-Series ,"Classification, Clustering ",Real ,600,0,1999 
Syskill and Webert Web Page Ratings,"Multivariate, Text ",Classification ,Categorical ,332,5,1998 
Tamilnadu Electricity Board Hourly Readings,Multivariate ,"Classification, Regression, Clustering ",Real ,45781,5,2013 
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory ","Clustering, Causal-Discovery ",Real ,1710671,9,2015 
Teaching Assistant Evaluation,Multivariate ,Classification ,"Categorical, Integer ",151,5,1997 
Tennis Major Tournament Match Statistics,Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",127,42,2014 
Thoracic Surgery Data,Multivariate ,Classification ,"Integer, Real ",470,17,2013 
Thyroid Disease,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real ",7200,21,1987 
Tic-Tac-Toe Endgame,Multivariate ,Classification ,Categorical ,958,9,1991 
Trains,Multivariate ,Classification ,Categorical ,10,32,1994 
TTC-3600: Benchmark dataset for Turkish text categorization,Text ,"Classification, Clustering ",Integer ,3600,4814,2017 
Turkiye Student Evaluation,Multivariate ,"Classification, Clustering ",,5820,33,2013 
TV News Channel Commercial Detection Dataset,Multivariate ,"Classification, Clustering ",Real ,129685,12,2015 
Twenty Newsgroups,Text ,,,20000,0,1999 
Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory ","Classification, Regression ",Real ,640,480000,2016 
Twitter Data set for Arabic Sentiment Analysis,Text ,Classification ,,2000,2,2014 
UbiqLog (smartphone lifelogging),Multivariate ,Causal-Discovery ,,9782222,0,2016 
UJI Pen Characters,"Multivariate, Sequential ",Classification ,Integer ,1364,0,2007 
UJI Pen Characters (Version 2),"Multivariate, Sequential ",Classification ,Integer ,11640,0,2009 
Online News Popularity,Multivariate ,"Classification, Regression ","Integer, Real ",39797,61,2015 
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ","Integer, Real ",40000,13,2015 
Ultrasonic flowmeter diagnostics,Multivariate ,Classification ,Real ,540,173,2018 
Undocumented,,,,0,0,
University,Multivariate ,Classification ,"Categorical, Integer ",285,17,1988 
University of Tehran Question Dataset 2016 (UTQD.2016),Text ,Classification ,,1175,3,2017 
UNIX User Data,"Text, Sequential ",,,0,0,
Urban Land Cover,Multivariate ,Classification ,,168,148,2014 
URL Reputation,"Multivariate, Time-Series ",Classification ,"Integer, Real ",2396130,3231961,2009 
US Census Data (1990),Multivariate ,Clustering ,Categorical ,2458285,68,
User Identification From Walking Activity,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real ,0,0,2014 
User Knowledge Modeling,Multivariate ,"Classification, Clustering ",Integer ,403,5,2013 
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory ,Classification ,Integer ,306,5,2013 
Vertebral Column,Multivariate ,Classification ,Real ,310,6,2011 
Vicon Physical Action Data Set,Time-Series ,Classification ,Real ,3000,27,2011 
Victorian Era Authorship Attribution,Text ,Classification ,,93600,1000,2018 
Volcanoes on Venus - JARtool experiment,Image ,Classification ,,0,0,
Wall-Following Robot Navigation Data,"Multivariate, Sequential ",Classification ,Real ,5456,24,2010 
Water Treatment Plant,Multivariate ,Clustering ,"Integer, Real ",527,38,1993 
Waveform Database Generator (Version 1),"Multivariate, Data-Generator ",Classification ,Real ,5000,21,1988 
Waveform Database Generator (Version 2),"Multivariate, Data-Generator ",Classification ,Real ,5000,40,1988 
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential ,Classification ,"Integer, Real ",165632,18,2013 
Website Phishing,Multivariate ,Classification ,Integer ,1353,10,2016 
Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate ,Classification ,Real ,39242,152,2013 
Wholesale customers,Multivariate ,"Classification, Clustering ",Integer ,440,8,2014 
Facebook Comment Volume Dataset,Multivariate ,Regression ,"Integer, Real ",40949,54,2016 
Wilt,Multivariate ,Classification ,,4889,6,2014 
Wine,Multivariate ,Classification ,"Integer, Real ",178,13,1991 
Wine Quality,Multivariate ,"Classification, Regression ",Real ,4898,12,2009 
Wireless Indoor Localization,Multivariate ,Classification ,Real ,2000,7,2017 
Yacht Hydrodynamics,Multivariate ,Regression ,Real ,308,7,2013 
wiki4HE,Multivariate ,"Regression, Clustering, Causal-Discovery ",,913,53,2015 
Yeast,Multivariate ,Classification ,Real ,1484,8,1996 
YouTube Comedy Slam Preference Data,Text ,Classification ,,1138562,3,2012 
YouTube Multiview Video Games Dataset,"Multivariate, Text ","Classification, Clustering ","Integer, Real ",120000,1000000,2013 
YouTube Spam Collection,Text ,Classification ,,1956,5,2017 
Z-Alizadeh Sani,,Classification ,"Integer, Real ",303,56,2017 
Zoo,Multivariate ,Classification ,"Categorical, Integer ",101,17,1990
